链接,漫画名称,漫画作者,封面,点击数,简介,标签
https://h5.manhua.163.com/source/4317064958460058888,诡异奇谈,棍记,https://easyread.nosdn.127.net/pic/2016/11/10/0c4b76610bb649c3b5c13c4a69ede1b1.jpg,248253915,　　揭露人性的善与恶，一次命运的邂逅，一段诡异的旅途，恐怖、灵异、悬疑，诡异奇谈悄然来袭，嘘……请静声。,虐心 惊险 悬疑 奇幻 古风 
https://h5.manhua.163.com/source/4316808069920053167,嗜谎之神,茗卡通.庸鬼,https://easyread.nosdn.127.net/pic20161201a6758149916a4664b15cd6093bb10799.jpg,198931456,剧情介绍：一个人的恶习太多是不对的，也许你不知道，每个人的恶习（包括说谎行凶偏执懦弱懒惰等等）次数都是有上限的，一旦超过……你就会被系统认定为是“恶人”！！漫画《谎言监察者》新更名《嗜谎之神》，故事全新展开，每周二免费更新，精彩不断，喜欢请大力收藏！《嗜谎之神》监督茗卡通·暴雨，主创：庸鬼。前传《谎言监察者》也在网易呦~两部作品现已合并~~邀你一次看个够！！观看更多作品在网易漫画搜索“茗卡通”！嗜谎之神官方QQ群：327746871 新浪微博：http://t.cn/RUnBelH,热血 搞笑 魔幻 战斗 动作 
https://h5.manhua.163.com/source/4316808069910044571,百战学霸,自由漫画,https://easyread.nosdn.127.net/pic2016012597d948377f154d628d560950494f0954.jpeg,193994845,《百战岛》是时下代表尖端科技的一款游戏，主角的父亲（顾继云）是游戏开发时的创始人之一，为了能让不爱玩游戏的超级学霸儿子体验此游戏，故意将他儿子顾言强行带入游戏。真是坑儿子的爹啊！顾言得知只有通关才能走出游戏，虽有不甘，但也只能认命，于是踏上了坑爹的冒险旅程~爷俩互相坑~~,热血 冒险 游戏 战斗 
https://h5.manhua.163.com/source/4560963294790090531,我的食人女友,天朝大国,https://easyread.nosdn.127.net/pic/2016/12/02/2a9461232ab04e3a9d7cf1063598d1fd.jpg,189489524,普通高中生林浩突然发现自己的女朋友不是正常人类，和不正常的女友谈恋爱，性命堪忧啊！！,恋爱 冒险 恐怖 战斗 
https://h5.manhua.163.com/source/4316808070160064785,狐话狐说,洛笙,https://easyread.nosdn.127.net/pic/2015/07/02/e59c092c3b8a46099c3c660522aaa562.jpg,182135741,苏沛沛很郁闷，她不过是吐槽了两句漫画女主跟自己同名同姓，竟然就穿越到了漫画里。被家人进献给王就算了，还成了妖狐的仆人……等等，穿越就穿越，这剧情好像封O演绎，难道……《狐话狐说》读者群： 331051404,恶搞 恋爱 后宫 萌系 唯美 古风 穿越 
https://h5.manhua.163.com/source/4415012932660122246,猎行者,权迎升,https://easyread.nosdn.127.net/pic20160125ab73092197d24e0f9e76168c73cf076e.jpeg,179107774,原始野人闯入都市打拼求生的悬疑、奇幻、冒险故事，权迎升继《中国惊奇先生》后全新力作。男主角阳二狼用驯服野兽的粗暴方式应对社会上各种麻烦纠纷，在此期间与多位女主人公产生啼笑皆非的情感纠葛。,都市 恐怖 玄幻 悬疑 冒险 
https://h5.manhua.163.com/source/4615324882390118047,断袖皇上别碰我,独眼猫,https://easyread.nosdn.127.net/pic20160426ef22b5339a614c47ad10b39aece23b7c.jpeg,178766533,娱乐圈当红影帝顾凯一次意外，莫名其妙的在自家浴室穿越到历史不存在的异世界朱雀国，并为了保命阴差阳错成了帝后，开始了一段吃饭睡觉，斗众妃打奸臣，防帝君护菊花的旅程。Q群：断袖猫窝 453501448,穿越 后宫 耽美 古风 搞笑 
https://h5.manhua.163.com/source/4340892233000112529,赤铁之心,于彦舒,https://easyread.nosdn.127.net/pic201601128da68610e901428fa590f6b04b8b489c.jpeg,164672611,赤红色金属状外星生物——赤铁入侵地球，人类与之陷入苦战，势不两立。此时，一位与赤铁共用同一具身体的少女正在因为自己的特殊身份而为自己的生存而战。,热血 机甲 格斗 战斗 动作 
https://h5.manhua.163.com/source/4316808070150079442,小食神,乙又文化-许培育,https://easyread.nosdn.127.net/pic201701066da59f27eaf0469d979cdd44a4b0f412.jpg,161035780,天界治安不咋地，竟让《中国美食宝典》被饕餮抢走，中国美食面临消失的大灾难。于是食神举办食神大会，选出年轻料理精英组成“食神御备班”与饕餮pk，一场解救中国美食大作战由此展开！小食神QQ群：280880111新浪：http://weibo.com/u/1060877807腾讯：http://t.qq.com/hsupeiyu欢迎各界吃货加入讨论,热血 搞笑 冒险 动作 美食 
https://h5.manhua.163.com/source/4566399073990126076,自来水之污,潇潇潇潇如,https://easyread.nosdn.127.net/pic201605276d2cf2cd61f24509baa21ea949df03c7.jpeg,157502851,细思极恐，精污慎入！作者微博“潇潇潇潇如”，微信“潇如文化”。,惊险 恐怖 校园 推理 悬疑 
